Core,Date,Time,Run,Headspace,Valve
BC3-6,7/26/18,11.13-12.19,3,15,10
BC3-13,7/26/18,11.13-12.19,3,16.5,11
BC2-8,7/26/18,11.13-12.19,3,17,12
BC2-4,7/26/18,11.13-12.19,3,17,13
BC2-14,7/26/18,11.13-12.19,3,17.5,14
BC2-6,7/26/18,11.13-12.19,3,15,15
BC2-12,7/26/18,12.46-1.50,4,17,1
BC3-4,7/26/18,12.46-1.50,4,16.5,3
BC3-10,7/26/18,12.46-1.50,4,17,4
BC2-11,7/26/18,12.46-1.50,4,16.5,5
BC2-9,7/26/18,12.46-1.50,4,16,6
BC2-2,7/26/18,12.46-1.50,4,16.5,7
BC3-11,7/26/18,12.46-1.50,4,17,8
BC3-8,7/26/18,12.46-1.50,4,17,9
BC3-6,7/26/18,12.46-1.50,4,15,10
BC3-13,7/26/18,12.46-1.50,4,16.5,11
BC2-8,7/26/18,12.46-1.50,4,17,12
BC2-4,7/26/18,12.46-1.50,4,17,13
BC2-14,7/26/18,12.46-1.50,4,17.5,14
BC2-6,7/26/18,12.46-1.50,4,15,15
BC13-6,7/26/18,2.26-3.32,5,14.5,1
BC13-8,7/26/18,2.26-3.32,5,16,3
BC13-4,7/26/18,2.26-3.32,5,17.5,4
BC13-1,7/26/18,2.26-3.32,5,15,5
BC13-2,7/26/18,2.26-3.32,5,14.5,7
BC2-1,7/26/18,2.26-3.32,5,13,8
BC13-3,7/26/18,2.26-3.32,5,17,9
BC13-7,7/26/18,2.26-3.32,5,15,10
BC2-3,7/26/18,2.26-3.32,5,16,11
BC13-9,7/26/18,2.26-3.32,5,19,12
BC13-15,7/26/18,2.26-3.32,5,15,13
BC13-10,7/26/18,2.26-3.32,5,18,14
BC13-6,7/26/18,3.58-5.04,6,16.5,1
BC13-8,7/26/18,3.58-5.04,6,18,3
BC13-4,7/26/18,3.58-5.04,6,17.5,4
BC13-1,7/26/18,3.58-5.04,6,17,5
BC13-2,7/26/18,3.58-5.04,6,16,7
BC2-1,7/26/18,3.58-5.04,6,15,8
BC13-3,7/26/18,3.58-5.04,6,17,9
BC13-7,7/26/18,3.58-5.04,6,15,10
BC2-3,7/26/18,3.58-5.04,6,16,11
BC13-9,7/26/18,3.58-5.04,6,19,12
BC13-15,7/26/18,3.58-5.04,6,15,13
BC13-10,7/26/18,3.58-5.04,6,18,14
BC12-9,7/26/18,5.16-6.22,7,17,1
